category,filename,original_title,input_summary,title_formal,title_impactful,title_seo
business,481,Christmas sales worst since 1981,"Christmas sales worst since 1981

UK retail sales fell in December, failing to meet expectations and making it by some counts the worst Christmas since 1981. Retail sales dropped by 1% on the month in December, after a 0.6% rise in November, the Office for National Statistics (ONS) said. The ONS revised the annual 2004 rate of growth down from the 5.9% estimated in November to 3.2%.",Christmas sales worst of 1983,UK retailers hit Christmas sales worst since 1981,UK retail sales fall by 1% in December
business,450,US retail sales surge in December,"US retail sales surge in December

US retail sales ended the year on a high note with solid gains in December, boosted by strong car sales. Seasonally adjusted sales rose 1.2% in the month, compared to 0.1% a month earlier, boosted by a surge in shopping just before and after Christmas. Sales climbed 8% for the year, the best performance since an 8.5% rise in 1999, the Commerce Department added.",Store sales jump in December,US retail sales end the year on a high note in December,US retail sales surge in December
entertainment,337,Career honour for actor DiCaprio,"Career honour for actor DiCaprio

Actor Leonardo DiCaprio's ""exceptional career"" has been honoured at the Santa Barbara International Film Festival. The star was presented with the award by Martin Scorsese, who directed him in Oscar-nominated movie The Aviator. ""It's a lifetime achievement award, which is completely and utterly surreal, given I'm only 30 years old,"" DiCaprio said.",Leonardo DiCaprio wins Academy Award at Santa Barbara International Film Festival,Leonardo DiCaprio honoured at Santa Barbara International Film Festival,Leonardo DiCaprio wins award for 'exceptional career'
entertainment,308,Tautou 'to star in Da Vinci film',"Tautou 'to star in Da Vinci film'

French actress Audrey Tautou, star of hit film Amelie, will play the female lead in the film adaptation of The Da Vinci Code, it has been reported. The movie version of Dan Brown's best-selling novel is being directed by Ron Howard and also stars Tom Hanks. Tautou will play Hanks' code-cracking partner, according to various newspapers.",French actress Audrey Tautou to star in Da Vinci film,Audrey Tautou to play Da Vinci Code 'to star in film',Audrey Tautou to star in The Da Vinci Code
politics,153,Clarke to unveil immigration plan,"Clarke to unveil immigration plan

New controls on economic migrants and tighter border patrols will be part of government plans unveiled on Monday. Home Secretary Charles Clarke wants to introduce a points system for economic migrants and increase deportations of failed asylum seekers. Tony Blair has said people are right to be concerned about abuses of the system but there is no ""magic bullet"".",Home Secretary Clarke to unveil immigration plan,Home Secretary Charles Clarke to unveil immigration plan,Home Secretary Charles Clarke to unveil plans for immigration
politics,398,Lib Dems predict 'best ever poll',"Lib Dems predict 'best ever poll'

The Lib Dems are set for their best results in both the general election and the local council polls, one of their frontbenchers has predicted. Local government spokesman Ed Davey was speaking as the party launched its campaign for the local elections being held in 37 English council areas. The flagship pledge is to replace council tax with a local income tax.","Lib Dems set for best results in general election, local polls",Lib Dems set for best results in local elections,Lib Dems set for best ever polls
sport,125,Premier League planning Cole date,"Premier League planning Cole date

The Premier League is attempting to find a mutually convenient date to investigate allegations Chelsea made an illegal approach for Ashley Cole. Both Chelsea and Arsenal will be asked to give evidence to a Premier League commission, but no deadline has been put on when that meeting will convene. ""It's hard to put a date on it,"" a Premier League spokesman confirmed to BBC Sport.",Premier League attempting to find a date to investigate Ashley Cole,Chelsea and Arsenal to give evidence to Premier League commission,Chelsea and Arsenal to give evidence to Premier League commission
sport,085,Tulu to appear at Caledonian run,"Tulu to appear at Caledonian run

Two-time Olympic 10,000 metres champion Derartu Tulu has confirmed she will take part in the BUPA Great Caledonian Run in Edinburgh on 8 May. The 32-year-old Ethiopian is the first star name to enter the event. Tulu has won the Boston, London and Tokyo Marathons, as well as the world 10,000m title in 2001.",Torna Tulu to take part in Great Caledonian Run,"Two-time Olympic 10,000 metres champion Derartu Tulu confirms to run at Great Caledonian Run",Ethiopian's Tulu confirmed to be returning to Edinburgh
tech,286,Peer-to-peer nets 'here to stay',"Peer-to-peer nets 'here to stay'

Peer-to-peer (P2P) networks are here to stay, and are on the verge of being exploited by commercial media firms, says a panel of industry experts. Once several high-profile legal cases against file-sharers are resolved this year, firms will be very keen to try and make money from P2P technology. The expert panel probed the future of P2P at the Consumer Electronics Show in Las Vegas earlier in January.",Peer-to-peer nets 'here to stay',Peer-to-peer networks on the verge of being exploited by media firms,Peer-to-peer nets ‘here to stay’
tech,282,Dublin hi-tech labs to shut down,"Dublin hi-tech labs to shut down

Dublin's hi-tech research laboratory, Media Labs Europe, is to shut down. The research centre, which was started by the Irish government and the Massachusetts Institute of Technology, was a hotbed for technology concepts. Since its opening in 2000, the centre has developed ideas, such as implants for teeth, and also aimed to be a digital hub for start-ups in the area.",Dublin's hi-tech research laboratory to shut down,Dublin's hi-tech research laboratory to close down,Dublin's hi-tech lab to shut down
